ID,Label,titles
205,"T. Hoshino, H. Sagawa and A. Arima","[{'title': '64. T. Hoshino, H. Sagawa and A. Arima, Nucl. Phys. A481, 458 (1988).', 'citations': 1}, {'title': '65. T. Hoshino, H. Sagawa and A. Arima, Nucl. Phys. A506, 271 (1990).', 'citations': 1}]"
206,"T. Otsuka, N. Fukunishi and H. Sagawa","[{'title': '66. T. Otsuka, N. Fukunishi and H. Sagawa, Phys. Rev. Lett. 70, 1385 (1993).', 'citations': 1}]"
207,"J.M.G. Gomez, C. Prieto and A. Pores","[{'title': '67. J.M.G. Gomez, C. Prieto and A. Pores, Phys. Lett. B 295, 1 (1992).', 'citations': 1}]"
208,B.A. Brown and W. A. Richter,"[{'title': '69. B.A. Brown and W. A. Richter, Phys. Rev. C 58, 2099 (1998).', 'citations': 1}]"
209,W.E. Ormand and B. A. Brown,"[{'title': '70. W.E. Ormand and B. A. Brown, Nucl. Phys. A491, 1 (1989).', 'citations': 1}, {'title': '71. W.E. Ormand and B. A. Brown, Nucl. Phys. A440, 274 (1985).', 'citations': 1}, {'title': '72. W.E. Ormand and B. A. Brown, Phys. Lett. B 174, 128 (1986).', 'citations': 1}]"
210,E.K. Warburton and B. A. Brown,"[{'title': '73. E.K. Warburton and B. A. Brown, Phys. Rev. C 46, 923 (1992).', 'citations': 1}]"
211,"L. Jaqua, M. A. Hasan, J. P. Vary and B. R. Barrett","[{'title': '74. L. Jaqua, M. A. Hasan, J. P. Vary and B. R. Barrett, Phys. Rev. C 46, 2333 (1992).', 'citations': 1}]"
212,P.G. Hansen and B. M. Sherrill,"[{'title': '75. P.G. Hansen and B. M. Sherrill, ""Reactions and Single-Particle Structure of Nuclei Near the Drip Lines"", Nucl. Phys. A (to be published).', 'citations': 1}]"
213,H. Sagawa and K. Asahi,"[{'title': '76. H. Sagawa and K. Asahi, Phys. Rev. C 63, 064310 (2001).', 'citations': 1}]"
214,D.J. Millener,"[{'title': '77. D.J. Millener, Nucl. Phys. A, to be published (2001).', 'citations': 1}]"
215,"K. Bennaceur, F. Nowacki, J. Okolowiczand M. Ploszajcek","[{'title': '78. K. Bennaceur, F. Nowacki, J. Okolowiczand M. Ploszajcek, Nucl. Phys. A671, 203 (2000).', 'citations': 1}]"
216,"M. Sakakura, A. Arima and T. Sebe","[{'title': '79. M. Sakakura, A. Arima and T. Sebe, Phys. Lett. 61B, 335 (1976).', 'citations': 1}]"
217,E. Ormand,"[{'title': '80. E. Ormand, private communication (2001). B.A. Brown/ Prog Part.Nucl.Phys.47 (2001) 517-599 593', 'citations': 1}]"
218,A. de Shalit and I. Talmi,"[{'title': '81. A. de Shalit and I. Talmi, Nuclear Shell Theory, (Academic Press, 1963).', 'citations': 1}]"
219,"M. Honma, B. A. Brown, T. Mizusaki and T. Otsuka","[{'title': '82. M. Honma, B. A. Brown, T. Mizusaki and T. Otsuka, Nucl. Phys. A, to be published.', 'citations': 1}]"
220,"A. Arima, S. Cohen, R. D. Lawson and M. H. MacFarlane","[{'title': '83. A. Arima, S. Cohen, R. D. Lawson and M. H. MacFarlane, Nucl. Phys. A108, 94 (1968).', 'citations': 1}]"
221,W. Chung,"[{'title': '84. W. Chung, Pd. D. thesis, Michigan State University (1976).', 'citations': 1}]"
222,P. J. Brussaard and P. W. M. Glaudemans,"[{'title': '85. P. J. Brussaard and P. W. M. Glaudemans, Shell Model Applications in Nuclear Spectroscopy, (North Holland, 1977).', 'citations': 1}]"
223,"G. Bertsch, J. Borysowicz, H. McManus and W. G. Love","[{'title': '86. G. Bertsch, J. Borysowicz, H. McManus and W. G. Love, Nucl. Phys. A284, 399 (1977).', 'citations': 1}]"
224,"N. Anantaraman, H. Toki and G. F. Bertsch","[{'title': '87. N. Anantaraman, H. Toki and G. F. Bertsch, Nucl. Phys. A398, 269 (1983).', 'citations': 1}]"
225,"Hosaka A., Kubo K. I. and Toki H.","[{'title': '88. Hosaka A., Kubo K. I. and Toki H., Nucl. Phys. A444, 76 (1985)', 'citations': 1}]"
226,"B. A. Brown, W. A. Richter, R. E. Julies and B. H. Wildenthal","[{'title': '90. B. A. Brown, W. A. Richter, R. E. Julies and B. H. Wildenthal, Ann. Phys. 182, 191 (1988).', 'citations': 1}]"
227,A. G. M. van Hees and P. W. M. Glaudemans,"[{'title': '91. A. G. M. van Hees and P. W. M. Glaudemans, Z. Phys. A315, 223 (1984).', 'citations': 1}]"
228,I. Talmi,"[{'title': '92. I. Talmi, Helv. Phys. Acta 25, 185 (1952).', 'citations': 1}, {'title': '338. I. Talmi, Simple Models of Complex Nuclei, (Harwood Academic Publishers, 1993).', 'citations': 1}]"
229,G. A. Lalazissis,"[{'title': '93. G. A. Lalazissis, J. K&rig and P. Ring, Phys. Rev. C 55, 540 (1997).', 'citations': 1}]"
230,"R. E. Julies, W. A. Richter and B. A. Brown","[{'title': '94. R. E. Julies, W. A. Richter and B. A. Brown, South African Jour. Phys. 15, 35 (1992).', 'citations': 1}]"
231,J. B. McGrory,"[{'title': '95. J. B. McGrory, Phys. Rev. C 8, 693 (1973).', 'citations': 1}]"
232,"W. A. Richter, M. G. Van der Merwe, R. E. Julies and B. A. Brown","[{'title': '96. W. A. Richter, M. G. Van der Merwe, R. E. Julies and B. A. Brown, Nucl. Phys. A523, 325 (1991).', 'citations': 1}]"
233,D. J. Millener and D. Kurath,"[{'title': '97. D. J. Millener and D. Kurath, Nucl. Phys. A255, 315 (1975).', 'citations': 1}]"
234,"E. K. Warburton, J. A. Becker, D. J. Millener and B. A. Brown","[{'title': '98. E. K. Warburton, J. A. Becker, D. J. Millener and B. A. Brown, BNL report 40890 (1987).', 'citations': 1}]"
235,"E. K. Warburton, J. A. Becker, and B. A. Brown","[{'title': '99. E. K. Warburton, J. A. Becker, and B. A. Brown, Phys. Rev. C 41, 1147 (1990).', 'citations': 1}]"
236,"J. Retamosa, E. Caurier, F. Nowacki and A. Poves","[{'title': '100. J. Retamosa, E. Caurier, F. Nowacki and A. Poves, Phys. Rev. C 55, 1266 (1997).', 'citations': 1}]"
237,T. R. H. Skyrme,"[{'title': '101. T. R. H. Skyrme. Philos. Mag. 1, 1043 (1956); Nucl. Phys. 9, 615 (1959); 9, 635 (1959).', 'citations': 1}]"
238,D. Vautherin and D. M. Brink,"[{'title': '102. D. Vautherin and D. M. Brink, Phys. Rev. C 5, 626 (1972).', 'citations': 1}]"
239,W. Kohn and L. J. Sham,"[{'title': '103. W. Kohn and L. J. Sham, Phys. Rev. 140 All33 (1965).', 'citations': 1}]"
240,R. M. Dreizler and E. K. U. Gross,"[{'title': '104. R. M. Dreizler and E. K. U. Gross, “Density Functional Theory: An Approach to the Quantum Many-Body Problem”, (Springer, Berlin, 1990).', 'citations': 1}]"
241,"F. Tondeur, S. Goriely, J. M. Pearson, and M. Onsi","[{'title': '105. F. Tondeur, S. Goriely, J. M. Pearson, and M. Onsi, Phys. Rev. C 62, 024308 (2000).', 'citations': 1}]"
242,"M. M. Sharma, G. Lalazissis, J. Konig and P. Ring","[{'title': '106. M. M. Sharma, G. Lalazissis, J. Konig and P. Ring, Phys. Rev. Lett. 74, 3744 (1995).', 'citations': 1}]"
243,B. Friedman and V. R. Pandharipande,"[{'title': '107. B. Friedman and V. R. Pandharipande, Nucl. Phys. A361, 502 (1981).', 'citations': 1}]"
244,S. Type1 and B. A. Brown,"[{'title': '109. S. Type1 and B. A. Brown, Phys. Rev. C 64, 027302 (2001).', 'citations': 1}]"
245,"B. A. Brown, W. A. Richter and R. Lindsay","[{'title': '110. B. A. Brown, W. A. Richter and R. Lindsay, Phys. Lett. B 483, 49 (2000).', 'citations': 1}]"
246,"A. G. M. van Hees, A. A. Wolters and P. W. M. Glaudemans","[{'title': '112. A. G. M. van Hees, A. A. Wolters and P. W. M. Glaudemans, Nucl. Phys. A476, 61 (1988).', 'citations': 1}]"
247,T.T.S. Kuo and G.E. Brown,"[{'title': '113. T.T.S. Kuo and G.E. Brown, Nucl. Phys. 85, 40 (1966)', 'citations': 1}]"
248,T.T.S. Kuo,"[{'title': '114. T.T.S. Kuo, Nucl. Phys. A103, 71 (1967).', 'citations': 1}]"
249,"B.H. Wildenthal, E.C. Halbert, J.B. McGrory and T.T.S. Kuo","[{'title': '115. B.H. Wildenthal, E.C. Halbert, J.B. McGrory and T.T.S. Kuo, Phys. Rev. C 4, 1266 (1971).', 'citations': 1}]"
250,B.H. Wildenthal in Elementary,"[{'title': '116. B.H. Wildenthal in Elementary Modes of Excitation in Nuclei, Proceedings of the International School of Physics Enrico Fermi, course 69, edited by A. Bohr and R.A. Broglia (North-Holland, 1977), p. 383; B.H. Wildenthal and W. Chung in Mesons in Nuclei, edited by M. Rho and D.H. Wilkinson, (North-Holland, 1979), p. 723.', 'citations': 1}]"
251,B.H. Wildenthal and W. Chung in Mesons,"[{'title': '116. B.H. Wildenthal in Elementary Modes of Excitation in Nuclei, Proceedings of the International School of Physics Enrico Fermi, course 69, edited by A. Bohr and R.A. Broglia (North-Holland, 1977), p. 383; B.H. Wildenthal and W. Chung in Mesons in Nuclei, edited by M. Rho and D.H. Wilkinson, (North-Holland, 1979), p. 723.', 'citations': 1}]"
252,M. W. Kirson,"[{'title': '117. M. W. Kirson, Phys. Lett. 47B, 110 (1973).', 'citations': 1}]"
253,"K. Klingenbeck, W. Knupfer, M. G. Huber and P. W. M. Glaudemans","[{'title': '118. K. Klingenbeck, W. Knupfer, M. G. Huber and P. W. M. Glaudemans, Phys. Rev. C 15, 1483 (1977). 594 B. A. Brown / Prog Part. Nucl. Phys. 47 (2001) 517-599', 'citations': 1}]"
254,K. Yoshinada,"[{'title': '125. K. Yoshinada, Phys. Rev. C 26, 1784 (1982), and references therin. T. T. S. Kuo and G. E. Brown, Nucl. Phys. A114, 235 (1968). J. B. McGrory, B. H. Wildenthal and E. C. Halbert, Phys. Rev. C 2, 186 (1970). D. Rudolf et al., Phys. Rev. Lett. 82, 3763 (1999). P. von Neumann-Cosel, A. Poves, J. Retamosa and A. Richter, Phys. Lett. B 443, 1 (1998). E. Caurier, K. Langanke, G. Martinez-Pined0 and F. Nowacki, Nucl. Phys. A653, 439 (1999). W. A. Richter, M. G. Van der Merwe, R. E. Julies and B. A. Brown, Nucl. Phys. A577, 585 (1994). J. W. Olness, E. K. Warburton, D. E. Alburger, C. J. Lister, and D. J. Millener, Nucl. Phys. A373, 13 (1982). T. Suzuki and T. Otsuka, Phys. Rev. C 56, 847 (1997). E. K. Warburton, I. S. Towner and B. A. Brown, Phys. Rev. C 49, 824 (1994). E. K. Warburton, D. E. Alburger, J. A. Becker, B. A. Brown and S. Raman, Phys. Rev. C 34, 1031 (1986). E. K. Warburton, Phys. Rev. C 35,2278 (1987); G. Wang, E. K. Warburton and D. E. Alburger, Phys. Rev. C 35, 2272 (1987). E. K. Warburton and J. A. Becker, Phys. Rev. C 39,1535 (1989); Phys. Rev. C 40,2823 (1989). T. Siiskonen, P. 0. Lipas and J. Rikovska, Phys. Rev. C 60, 034312 (1999). E. Caurier, F. Nowacki, A. Poves and J. Retamosa, Phys. Rev. C 58, 2033 (1998). S. Kahana, H. C. Lee and C. K. Scott, Phys. Rev. 180,956 (1969). J. Duflo and A. P. Zuker, Phys. Rev. C 59, R2347 (1999). S. Nummelaet al., Phys. Rev. C 63, 044316 (2001). A. Watt, R. P. Singhal, M. H. Storm and R. R. Whitehead, J. Phys. G 7, L145 (1981). A. Poves and J. Retamosa, Phys. Lett. B 184 311 (1987).', 'citations': 1}]"
255,"G. Wang, E. K. Warburton and D. E. Alburger","[{'title': '125. K. Yoshinada, Phys. Rev. C 26, 1784 (1982), and references therin. T. T. S. Kuo and G. E. Brown, Nucl. Phys. A114, 235 (1968). J. B. McGrory, B. H. Wildenthal and E. C. Halbert, Phys. Rev. C 2, 186 (1970). D. Rudolf et al., Phys. Rev. Lett. 82, 3763 (1999). P. von Neumann-Cosel, A. Poves, J. Retamosa and A. Richter, Phys. Lett. B 443, 1 (1998). E. Caurier, K. Langanke, G. Martinez-Pined0 and F. Nowacki, Nucl. Phys. A653, 439 (1999). W. A. Richter, M. G. Van der Merwe, R. E. Julies and B. A. Brown, Nucl. Phys. A577, 585 (1994). J. W. Olness, E. K. Warburton, D. E. Alburger, C. J. Lister, and D. J. Millener, Nucl. Phys. A373, 13 (1982). T. Suzuki and T. Otsuka, Phys. Rev. C 56, 847 (1997). E. K. Warburton, I. S. Towner and B. A. Brown, Phys. Rev. C 49, 824 (1994). E. K. Warburton, D. E. Alburger, J. A. Becker, B. A. Brown and S. Raman, Phys. Rev. C 34, 1031 (1986). E. K. Warburton, Phys. Rev. C 35,2278 (1987); G. Wang, E. K. Warburton and D. E. Alburger, Phys. Rev. C 35, 2272 (1987). E. K. Warburton and J. A. Becker, Phys. Rev. C 39,1535 (1989); Phys. Rev. C 40,2823 (1989). T. Siiskonen, P. 0. Lipas and J. Rikovska, Phys. Rev. C 60, 034312 (1999). E. Caurier, F. Nowacki, A. Poves and J. Retamosa, Phys. Rev. C 58, 2033 (1998). S. Kahana, H. C. Lee and C. K. Scott, Phys. Rev. 180,956 (1969). J. Duflo and A. P. Zuker, Phys. Rev. C 59, R2347 (1999). S. Nummelaet al., Phys. Rev. C 63, 044316 (2001). A. Watt, R. P. Singhal, M. H. Storm and R. R. Whitehead, J. Phys. G 7, L145 (1981). A. Poves and J. Retamosa, Phys. Lett. B 184 311 (1987).', 'citations': 1}]"
256,T. Siiskonen,"[{'title': '125. K. Yoshinada, Phys. Rev. C 26, 1784 (1982), and references therin. T. T. S. Kuo and G. E. Brown, Nucl. Phys. A114, 235 (1968). J. B. McGrory, B. H. Wildenthal and E. C. Halbert, Phys. Rev. C 2, 186 (1970). D. Rudolf et al., Phys. Rev. Lett. 82, 3763 (1999). P. von Neumann-Cosel, A. Poves, J. Retamosa and A. Richter, Phys. Lett. B 443, 1 (1998). E. Caurier, K. Langanke, G. Martinez-Pined0 and F. Nowacki, Nucl. Phys. A653, 439 (1999). W. A. Richter, M. G. Van der Merwe, R. E. Julies and B. A. Brown, Nucl. Phys. A577, 585 (1994). J. W. Olness, E. K. Warburton, D. E. Alburger, C. J. Lister, and D. J. Millener, Nucl. Phys. A373, 13 (1982). T. Suzuki and T. Otsuka, Phys. Rev. C 56, 847 (1997). E. K. Warburton, I. S. Towner and B. A. Brown, Phys. Rev. C 49, 824 (1994). E. K. Warburton, D. E. Alburger, J. A. Becker, B. A. Brown and S. Raman, Phys. Rev. C 34, 1031 (1986). E. K. Warburton, Phys. Rev. C 35,2278 (1987); G. Wang, E. K. Warburton and D. E. Alburger, Phys. Rev. C 35, 2272 (1987). E. K. Warburton and J. A. Becker, Phys. Rev. C 39,1535 (1989); Phys. Rev. C 40,2823 (1989). T. Siiskonen, P. 0. Lipas and J. Rikovska, Phys. Rev. C 60, 034312 (1999). E. Caurier, F. Nowacki, A. Poves and J. Retamosa, Phys. Rev. C 58, 2033 (1998). S. Kahana, H. C. Lee and C. K. Scott, Phys. Rev. 180,956 (1969). J. Duflo and A. P. Zuker, Phys. Rev. C 59, R2347 (1999). S. Nummelaet al., Phys. Rev. C 63, 044316 (2001). A. Watt, R. P. Singhal, M. H. Storm and R. R. Whitehead, J. Phys. G 7, L145 (1981). A. Poves and J. Retamosa, Phys. Lett. B 184 311 (1987).', 'citations': 1}]"
257,J. I. Prisciandaro et al.,"[{'title': '153. J. I. Prisciandaro et al., Phys. Lett. B 510, 17 (2001).', 'citations': 1}]"
258,S. Pittel,"[{'title': '154. S. Pittel, Phys. Lett. B 82, 303 (1985).', 'citations': 1}]"
259,G. Audi and A. H. Wapstra,"[{'title': '155. G. Audi and A. H. Wapstra, Nucl. Phys. A595, 409 (1995).', 'citations': 1}]"
260,F. Sarazin et al.,"[{'title': '156. F. Sarazin et al., Phys. Rev. Lett. 84, 5062 (2000).', 'citations': 1}]"
261,D. Lunney et al.,"[{'title': '157. D. Lunney et al., Phys. Rev. C, to be publishsed. B. A. Brown / Prog. Part. Nucl. Phys. 47 (2001) 517-599 595', 'citations': 1}]"
262,"A. Volya, B. A. Brown and V. Zelevinsky","[{'title': '158. A. Volya, B. A. Brown and V. Zelevinsky, Phys. Lett. B. 509,37 (2001).', 'citations': 1}]"
263,"G. Martinez-Pinedo, A. P. Zuker, A. Poves and E. Caurier","[{'title': '159. G. Martinez-Pinedo, A. P. Zuker, A. Poves and E. Caurier, Phys. Rev. C 55, 187 (1997).', 'citations': 1}]"
264,"M. Wiescher, J. Gorres and F. K. Thielemann","[{'title': '160. M. Wiescher, J. Gorres and F. K. Thielemann, Astrophys. J. 326, 384 (1988).', 'citations': 1}]"
265,A. Garcia et al.,"[{'title': '161. A. Garcia et al., Phys. Rev. C 43, 2012 (1991).', 'citations': 1}]"
266,R. Sherr and H. T. Fortune,"[{'title': '162. R. Sherr and H. T. Fortune, Phys. Rev. C 58, 3292 (1998).', 'citations': 1}]"
267,D. W. Bardayan et al.,"[{'title': '163. D. W. Bardayan et al., Phys. Rev. Lett. 83, 45 (1999).', 'citations': 1}]"
268,J. A. Nolen and J.P. Schiffer,"[{'title': '164. J. A. Nolen and J.P. Schiffer, Ann. Rev. Nucl. Sci. 19, 471 (1969).', 'citations': 1}]"
269,C. Titin-Schnaider and P. Quentin,"[{'title': '165. C. Titin-Schnaider and P. Quentin, Phys. Lett. 49B, 397 (1974).', 'citations': 1}]"
270,"T. Suzuki, H. Sagawa and A. Arima","[{'title': '166. T. Suzuki, H. Sagawa and A. Arima, Nucl. Phys. A536, 141 (1992)', 'citations': 1}]"
271,B. J. Cole,"[{'title': '167. B. J. Cole, Phys. Rev. C 54, 1240 (1996).', 'citations': 1}]"
272,A. Bulgac and V. R. Shaginyan,"[{'title': '170. A. Bulgac and V. R. Shaginyan, Nucl. Phys. A601, 103 (1996).', 'citations': 1}, {'title': '171. A. Bulgac and V. R. Shaginyan, Phys. Lett. B 469, 1 (1999).', 'citations': 1}, {'title': '172. A. Bulgac and V. R. Shaginyan, Eur. Phys. J. A 5, 247 (1999).', 'citations': 1}]"
273,R. Sherr and G. Bertsch,"[{'title': '173. R. Sherr and G. Bertsch, Phys. Rev. C 32, 1809 (1985).', 'citations': 1}]"
274,"B. A. Brown, A. Csoto and R. Sherr","[{'title': '174. B. A. Brown, A. Csoto and R. Sherr, Nucl. Phys. A597, 66 (1996).', 'citations': 1}]"
275,"G. A. Miller, B. M. K. Nefkens and I. Slaus","[{'title': '175. G. A. Miller, B. M. K. Nefkens and I. Slaus, Phys. Rep. 194, 1 (1990).', 'citations': 1}]"
276,G. Q. Li and R. Machleidt,"[{'title': '176. G. Q. Li and R. Machleidt, Phys. Rev. C 58, 3153 (1998).', 'citations': 1}]"
277,"R. B. Wiringa, V. G. J. Stoks and R. Schiavilla","[{'title': '177. R. B. Wiringa, V. G. J. Stoks and R. Schiavilla, Phys. Rev. C 49, 2950 (1995).', 'citations': 1}]"
278,"C. Harzer, H. Muther and R. Machleidt","[{'title': '178. C. Harzer, H. Muther and R. Machleidt, Phys. Lett. B 459, 1 (1999).', 'citations': 1}]"
279,"K. Tsushima, K. Saito and A. W. Thomas","[{'title': '179. K. Tsushima, K. Saito and A. W. Thomas, Phys. Lett. B 465, 36 (1999).', 'citations': 1}]"
280,C. J. Horowitz and J. Piekarewicz,"[{'title': '180. C. J. Horowitz and J. Piekarewicz, Phys. Rev. C 63, 01330(R), (2000).', 'citations': 1}]"
281,B. A. Brown and P. G. Hansen,"[{'title': '181. B. A. Brown and P. G. Hansen, Phys. Lett. B 391 (1996).', 'citations': 1}]"
282,H. Schatz et al.,"[{'title': '182. H. Schatz et al., Phys. Rep, 294, 167 (1998).', 'citations': 1}]"
283,"H. T. Fortune, R. Sherr and B. A. Brown","[{'title': '183. H. T. Fortune, R. Sherr and B. A. Brown, Phys. Rev. C 61, 057303 (2000).', 'citations': 1}]"
284,"H. Herndl, J. Goerres, M. Wiescher, B. A. Brown and L. Van Wormer","[{'title': '184. H. Herndl, J. Goerres, M. Wiescher, B. A. Brown and L. Van Wormer, Phys. Rev. C 52, 1078 (1995).', 'citations': 1}]"
285,"B. A. Brown, A. Arimaand J. B. McGrory","[{'title': '185. B. A. Brown, A. Arimaand J. B. McGrory, Nucl. Phys. A277, 77 (1977).', 'citations': 1}]"
286,H. Nakada and T. Otsuka,"[{'title': '186. H. Nakada and T. Otsuka, Phys. Rev. C 49, 886 (1994).', 'citations': 1}]"
287,H. Kitagawa and H. Sagawa,"[{'title': '187. H. Kitagawa and H. Sagawa, Phys. Lett. B 299, 1 (1993).', 'citations': 1}]"
288,B. Davids et al.,"[{'title': '188. B. Davids et al., Phys. Rev. Lett. 86, 2750 (2001), and references therin.', 'citations': 1}]"
289,A. Navin et al.,"[{'title': '189. A. Navin et al., Phys. Rev. Lett. 81, 5089 (1998).', 'citations': 1}, {'title': '213. A. Navin et al., Phys. Rev. Lett. 85, 266 (2000).', 'citations': 1}]"
290,V. Bochkarev et al.,"[{'title': '190. 0. V. Bochkarev et al., Nucl. Phys. A505, 215 (1989).', 'citations': 1}]"
291,R. A. Kryger et al.,"[{'title': '191. R. A. Kryger et al., Phys. Rev. Lett. 74, 860 (1995).', 'citations': 1}]"
292,F. C. Barker,"[{'title': '192. F. C. Barker, Phys. Rev. C 59. 535 (1999).', 'citations': 1}, {'title': '197. F. C. Barker, Phys. Rev. C 63, 047303 (2001).', 'citations': 1}, {'title': '238. F. C. Barker, J. Phys. G2, L45 (1976).', 'citations': 1}]"
293,M. J. Chromik et al.,"[{'title': '193. M. J. Chromik et al., Phys. Rev. C 55, 1676 (1997).', 'citations': 1}]"
294,J. Gomez de1 Campo et al.,"[{'title': '194. J. Gomez de1 Campo et al., Phys. Rev. Lett. 86, 43 (2001).', 'citations': 1}]"
295,"L. V. Grigorenko, R. C. Johnson, I. G. Mukha, I. J. Thompson and M. V. Zhukov","[{'title': '195. L. V. Grigorenko, R. C. Johnson, I. G. Mukha, I. J. Thompson and M. V. Zhukov, Phys. Rev. Lett. 85, 22 (2000).', 'citations': 1}]"
296,J. Giovinazzo et al.,"[{'title': '196. J. Giovinazzo et al., Eur. Jour. Phys. A 10, 73 (2001).', 'citations': 1}]"
297,W. Nazarewicz et al.,"[{'title': '198. W. Nazarewicz et al., Phys. Rev. C 53, 740 (1993).', 'citations': 1}]"
298,B. A. Brown and D. J. Millener,"[{'title': '199. B. A. Brown and D. J. Millener, unpublished (2001). 596 B. A. Brown / Prog. Part. Nucl. Phys. 47 (2001) 517-599', 'citations': 1}]"
299,M. Ichimura et al.,"[{'title': '200. M. Ichimura et al., Nucl. Phys. A208, 225 (1973).', 'citations': 1}]"
300,N. Anyas-Weiss et al.,"[{'title': '201. N. Anyas-Weiss et al., Phys. Rep. 12C, 201 (1974).', 'citations': 1}]"
301,"C. De Coster, B. Decroix and K. Heyde","[{'title': '202. C. De Coster, B. Decroix and K. Heyde, Phys. Rev. C 61, 067306 (2000).', 'citations': 1}]"
302,K. Heyde et al.,"[{'title': '203. K. Heyde et al., Physics Reports 102, 291 (1983).', 'citations': 1}, {'title': '204. K. Heyde et al., Phys. Rev. C 38, 984 (1984).', 'citations': 1}, {'title': '205. K. Heyde et al., Nucl. Phys. A484, 275 (1988)', 'citations': 1}]"
303,"P.-H. Heenen, J. Dobaczewski, W. Nazarewicz, P. Bonche and T. L. Khoo","[{'title': '206. P.-H. Heenen, J. Dobaczewski, W. Nazarewicz, P. Bonche and T. L. Khoo, Phys. Rev. 57, 1719 (1998).', 'citations': 1}]"
304,I. Talmi and I. Unna,"[{'title': '207. I. Talmi and I. Unna, Phys. Rev. Lett. 4, 469 (1960).', 'citations': 1}]"
305,"H. Sagawa, B. A. Brown and H. Esbensen","[{'title': '208. H. Sagawa, B. A. Brown and H. Esbensen, Phys. Lett. B 309, 1 (1993).', 'citations': 1}]"
306,M. Thoennessen et al.,"[{'title': '209. M. Thoennessen et al., Phys. Rev. C 59, 111 (1999).', 'citations': 1}]"
307,M. Chartier et al.,"[{'title': '210. M. Chartier et al., Phys. Lett. B 510, 24 (2001).', 'citations': 1}]"
308,L. Chen et al.,"[{'title': '211. L. Chen et al., Phys. Lett. B 505, 21 (2001).', 'citations': 1}]"
309,V. Guimaraes et al.,"[{'title': '212. V. Guimaraes et al., Phys. Rev. C 61, 064609 (2000).', 'citations': 1}]"
310,W. C. Haxton and C. Johnson,"[{'title': '214. W. C. Haxton and C. Johnson, Phys. Rev. Lett. 65, 1325 (1990).', 'citations': 1}]"
311,C. Thibault et al.,"[{'title': '215. C. Thibault et al., Phys. Rev. C 12, 644 (1975).', 'citations': 1}]"
312,B. H. Wildenthal and W. Chung,"[{'title': '216. B. H. Wildenthal and W. Chung, Phys. Rev. C 19, 164 (1979).', 'citations': 1}]"
313,X. Campi et al.,"[{'title': '217. X. Campi et al., Nucl. Phys. A251, 193 (1975).', 'citations': 1}]"
314,"M. H. Storm, A. Watt and R. R. Whitehead","[{'title': '218. M. H. Storm, A. Watt and R. R. Whitehead, J. Phys. G9, L165 (1983).', 'citations': 1}]"
315,"A. Arima, H. Horiuchi and T. Sebe","[{'title': '219. A. Arima, H. Horiuchi and T. Sebe, Phys. Lett. 24B, 129 (1967).', 'citations': 1}]"
316,P. J. Ellis and T. Engeland,"[{'title': '220. P. J. Ellis and T. Engeland, Nucl. Phys. A144, 161 (1970).', 'citations': 1}, {'title': '221. P. J. Ellis and T. Engeland, Nucl. Phys. A181, 368 (1972).', 'citations': 1}]"
317,L. Zamick,"[{'title': '222. L. Zamick, Phys. Lett. 19, 580 (1965).', 'citations': 1}]"
318,R. D. Lawson,"[{'title': '223. R. D. Lawson, Theory of the Nuclear Shell Model, (Clarendon Press, Oxford, 1980).', 'citations': 1}]"
319,G. E. Arenas Peris and P. Federman,"[{'title': '224. G. E. Arenas Peris and P. Federman, Phys. Lett. B 173, 359 (1986).', 'citations': 1}]"
320,B. V. Pritychenko et al.,"[{'title': '225. B. V. Pritychenko et al., Phys. Rev. C 62, 05160 (2000).', 'citations': 1}, {'title': '226. B. V. Pritychenko et al., Phys. Lett. B 461, 322 (1999).', 'citations': 1}, {'title': '227. B. V. Pritychenko et al., Phys. Rev. C 63, 011305 (2001).', 'citations': 1}]"
321,"J. M. Bang, F. G. Gareev, W. T. Pinkston and J. S. Vaagen","[{'title': '228. J. M. Bang, F. G. Gareev, W. T. Pinkston and J. S. Vaagen, Phys. Rep. 125, 253 (1985).', 'citations': 1}]"
322,J. S. Winfield et al.,"[{'title': '230. J. S. Winfield et al., Nucl. Phys. A683, 48 (2001).', 'citations': 1}]"
323,P. G. Hansen,"[{'title': '231. P. G. Hansen, Phys. Rev. Lett. 77, 1016 (1996).', 'citations': 1}]"
324,V. Maddalena et al.,"[{'title': '232. V. Maddalena et al., Phys. Rev. C 63, 024613 (2001).', 'citations': 1}]"
325,T. Aumann et al.,"[{'title': '233. T. Aumann et al., Phys. Rev. Lett. 84, 35 (2000).', 'citations': 1}]"
326,J. A. Tostevin,"[{'title': '234. J. A. Tostevin, J. Phys. G 25, 735 (1999).', 'citations': 1}]"
327,D. Bazin et al.,"[{'title': '235. D. Bazin et al., Phys. Rev. C 57, 2156 (1998).', 'citations': 1}]"
328,"J. A. Tostevin, et al.","[{'title': '236. J. A. Tostevin, et al., to be published.', 'citations': 1}]"
329,E. Sauvan et al.,"[{'title': '237. E. Sauvan et al., Phys. Lett. B 491, 1 (2000).', 'citations': 1}]"
330,D. E. Alburger et al.,"[{'title': '239. D. E. Alburger et al., Phys. Rev. C 17, 1525 (1978).', 'citations': 1}]"
331,"H. T. Fortune, G. B. Liu and D. E. Alburger","[{'title': '240. H. T. Fortune, G. B. Liu and D. E. Alburger, Phys. Rev. C 50, 1355 (1994).', 'citations': 1}]"
